sample_id,family_id,image_id,source_caption,edited_caption,label,edit_family,edit_rule,audit_status,file_path,objects,object_counts,split
val-130361::contradiction,val-130361,227898,A picture of a person riding a horse.,A picture of two people riding a horse,contradiction,contradiction_count,count:article->person,pending,/content/project/artifacts/datasets/coco2017/val2017/000000227898.jpg,"['bench', 'car', 'horse', 'person']","{'horse': 1, 'car': 1, 'person': 5, 'bench': 1}",test
val-130361::entailment,val-130361,227898,A picture of a person riding a horse.,A picture of an individual riding a horse,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000227898.jpg,"['bench', 'car', 'horse', 'person']","{'horse': 1, 'car': 1, 'person': 5, 'bench': 1}",test
val-140661::contradiction,val-140661,241668,A bride is with a long red haired person with cake.,A bride is with a long blue haired person with cake,contradiction,contradiction_attribute,attribute:red->blue,pending,/content/project/artifacts/datasets/coco2017/val2017/000000241668.jpg,"['cake', 'chair', 'person', 'tie']","{'tie': 1, 'person': 2, 'cake': 1, 'chair': 1}",test
val-140661::entailment,val-140661,241668,A bride is with a long red haired person with cake.,A bride is with a long red haired individual with cake,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000241668.jpg,"['cake', 'chair', 'person', 'tie']","{'tie': 1, 'person': 2, 'cake': 1, 'chair': 1}",test
val-142504::contradiction,val-142504,313182,A bus sits diagonal from the curb next to a building and people.,A train sits diagonal from the curb next to a building and people,contradiction,contradiction_object,object:bus->train,pending,/content/project/artifacts/datasets/coco2017/val2017/000000313182.jpg,"['bus', 'car', 'handbag', 'person']","{'bus': 1, 'person': 9, 'handbag': 2, 'car': 2}",test
val-142504::entailment,val-142504,313182,A bus sits diagonal from the curb next to a building and people.,A bus sits diagonal from the curb next to a building and individuals,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000313182.jpg,"['bus', 'car', 'handbag', 'person']","{'bus': 1, 'person': 9, 'handbag': 2, 'car': 2}",test
val-150093::contradiction,val-150093,139099,A street scene with a person on a motorcycle.,A street scene with two people on a motorcycle,contradiction,contradiction_count,count:article->person,pending,/content/project/artifacts/datasets/coco2017/val2017/000000139099.jpg,"['apple', 'backpack', 'banana', 'bicycle', 'car', 'dog', 'handbag', 'motorcycle', 'person', 'umbrella']","{'motorcycle': 1, 'person': 14, 'apple': 3, 'handbag': 6, 'bicycle': 1, 'dog': 1, 'backpack': 1, 'banana': 1, 'car': 1, 'umbrella': 1}",test
val-150093::entailment,val-150093,139099,A street scene with a person on a motorcycle.,A street scene with an individual on a motorcycle,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000139099.jpg,"['apple', 'backpack', 'banana', 'bicycle', 'car', 'dog', 'handbag', 'motorcycle', 'person', 'umbrella']","{'motorcycle': 1, 'person': 14, 'apple': 3, 'handbag': 6, 'bicycle': 1, 'dog': 1, 'backpack': 1, 'banana': 1, 'car': 1, 'umbrella': 1}",test
val-159770::contradiction,val-159770,21839,a person walking across the street with a traffic light above,two people walking across the street with a traffic light above,contradiction,contradiction_count,count:article->person,pending,/content/project/artifacts/datasets/coco2017/val2017/000000021839.jpg,"['car', 'handbag', 'person', 'traffic light']","{'traffic light': 1, 'person': 9, 'handbag': 4, 'car': 1}",test
val-159770::entailment,val-159770,21839,a person walking across the street with a traffic light above,an individual walking across the street with a traffic light above,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000021839.jpg,"['car', 'handbag', 'person', 'traffic light']","{'traffic light': 1, 'person': 9, 'handbag': 4, 'car': 1}",test
val-168364::contradiction,val-168364,24610,"A small living space with a couch, desk, chair, and bookcase.","A large living space with a couch, desk, chair, and bookcase",contradiction,contradiction_attribute,attribute:small->large,pending,/content/project/artifacts/datasets/coco2017/val2017/000000024610.jpg,"['backpack', 'book', 'bottle', 'chair', 'couch', 'laptop']","{'chair': 3, 'couch': 1, 'laptop': 1, 'book': 9, 'backpack': 1, 'bottle': 1}",test
val-168364::entailment,val-168364,24610,"A small living space with a couch, desk, chair, and bookcase.","A small living space with a sofa, desk, chair, and bookcase",entailment,entailment_synonym,synonym:couch->sofa,pending,/content/project/artifacts/datasets/coco2017/val2017/000000024610.jpg,"['backpack', 'book', 'bottle', 'chair', 'couch', 'laptop']","{'chair': 3, 'couch': 1, 'laptop': 1, 'book': 9, 'backpack': 1, 'bottle': 1}",test
val-180311::contradiction,val-180311,261706,A black and white cat hoarding the channel control on the couch.,A black and white dog hoarding the channel control on the couch,contradiction,contradiction_object,object:cat->dog,pending,/content/project/artifacts/datasets/coco2017/val2017/000000261706.jpg,"['cat', 'couch', 'remote']","{'cat': 1, 'remote': 1, 'couch': 1}",test
val-180311::entailment,val-180311,261706,A black and white cat hoarding the channel control on the couch.,A black and white cat hoarding the channel control on the sofa,entailment,entailment_synonym,synonym:couch->sofa,pending,/content/project/artifacts/datasets/coco2017/val2017/000000261706.jpg,"['cat', 'couch', 'remote']","{'cat': 1, 'remote': 1, 'couch': 1}",test
val-182042::contradiction,val-182042,161799,A person is doing skateboard tricks on a rail.,Two people are doing skateboard tricks on a rail,contradiction,contradiction_count,count:article->person,pending,/content/project/artifacts/datasets/coco2017/val2017/000000161799.jpg,"['person', 'skateboard']","{'person': 6, 'skateboard': 2}",test
val-182042::entailment,val-182042,161799,A person is doing skateboard tricks on a rail.,AN individual is doing skateboard tricks on a rail,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000161799.jpg,"['person', 'skateboard']","{'person': 6, 'skateboard': 2}",test
val-182215::contradiction,val-182215,31735,A view of a room that has two windows and a blue couch.,A view of a room that has two windows and a red couch,contradiction,contradiction_attribute,attribute:blue->red,pending,/content/project/artifacts/datasets/coco2017/val2017/000000031735.jpg,"['book', 'couch', 'potted plant']","{'potted plant': 2, 'couch': 1, 'book': 2}",test
val-182215::entailment,val-182215,31735,A view of a room that has two windows and a blue couch.,A view of a room that has two windows and a blue sofa,entailment,entailment_synonym,synonym:couch->sofa,pending,/content/project/artifacts/datasets/coco2017/val2017/000000031735.jpg,"['book', 'couch', 'potted plant']","{'potted plant': 2, 'couch': 1, 'book': 2}",test
val-183321::contradiction,val-183321,515577,Two people on skis going down a small hill.,Two people on skis going down a large hill,contradiction,contradiction_attribute,attribute:small->large,pending,/content/project/artifacts/datasets/coco2017/val2017/000000515577.jpg,"['person', 'skis']","{'person': 2, 'skis': 2}",test
val-183321::entailment,val-183321,515577,Two people on skis going down a small hill.,Two individuals on skis going down a small hill,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000515577.jpg,"['person', 'skis']","{'person': 2, 'skis': 2}",test
val-188820::contradiction,val-188820,194875,some people sitting behind a line of motorcycles,some people running behind a line of motorcycles,contradiction,contradiction_action,action:sitting->running,pending,/content/project/artifacts/datasets/coco2017/val2017/000000194875.jpg,"['bottle', 'chair', 'cup', 'dining table', 'handbag', 'motorcycle', 'person', 'potted plant', 'vase']","{'motorcycle': 3, 'person': 11, 'handbag': 1, 'bottle': 12, 'cup': 3, 'chair': 5, 'potted plant': 1, 'vase': 1, 'dining table': 2}",test
val-188820::entailment,val-188820,194875,some people sitting behind a line of motorcycles,some individuals sitting behind a line of motorcycles,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000194875.jpg,"['bottle', 'chair', 'cup', 'dining table', 'handbag', 'motorcycle', 'person', 'potted plant', 'vase']","{'motorcycle': 3, 'person': 11, 'handbag': 1, 'bottle': 12, 'cup': 3, 'chair': 5, 'potted plant': 1, 'vase': 1, 'dining table': 2}",test
val-193274::contradiction,val-193274,161799,A person is on a rail performing stunts on a skateboard.,A person is on a rail performing stunts on two skateboards,contradiction,contradiction_count,count:article->skateboard,pending,/content/project/artifacts/datasets/coco2017/val2017/000000161799.jpg,"['person', 'skateboard']","{'person': 6, 'skateboard': 2}",test
val-193274::entailment,val-193274,161799,A person is on a rail performing stunts on a skateboard.,AN individual is on a rail performing stunts on a skateboard,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000161799.jpg,"['person', 'skateboard']","{'person': 6, 'skateboard': 2}",test
val-194280::contradiction,val-194280,141671,A group of people riding motorcycles and horses on a race track.,A group of people pushing motorcycles and horses on a race track,contradiction,contradiction_action,action:riding->pushing,pending,/content/project/artifacts/datasets/coco2017/val2017/000000141671.jpg,"['bench', 'horse', 'motorcycle', 'person']","{'horse': 4, 'motorcycle': 4, 'bench': 4, 'person': 14}",test
val-194280::entailment,val-194280,141671,A group of people riding motorcycles and horses on a race track.,A group of individuals riding motorcycles and horses on a race track,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000141671.jpg,"['bench', 'horse', 'motorcycle', 'person']","{'horse': 4, 'motorcycle': 4, 'bench': 4, 'person': 14}",test
val-199335::contradiction,val-199335,458410,A living room with an old fashioned TV and a couch.,A living room with an old fashioned TV and a bench,contradiction,contradiction_object,object:couch->bench,pending,/content/project/artifacts/datasets/coco2017/val2017/000000458410.jpg,"['book', 'couch', 'dining table', 'tv', 'wine glass']","{'tv': 1, 'couch': 1, 'wine glass': 7, 'book': 7, 'dining table': 1}",test
val-199335::entailment,val-199335,458410,A living room with an old fashioned TV and a couch.,A living room with an old fashioned TELEVISION and a couch,entailment,entailment_synonym,synonym:tv->television,pending,/content/project/artifacts/datasets/coco2017/val2017/000000458410.jpg,"['book', 'couch', 'dining table', 'tv', 'wine glass']","{'tv': 1, 'couch': 1, 'wine glass': 7, 'book': 7, 'dining table': 1}",test
val-199557::contradiction,val-199557,157928,Two people in the snow with skis and a cooler.,One person in the snow with skis and a cooler,contradiction,contradiction_count,count:two->one,pending,/content/project/artifacts/datasets/coco2017/val2017/000000157928.jpg,"['backpack', 'car', 'person', 'skis']","{'car': 2, 'person': 2, 'skis': 2, 'backpack': 2}",test
val-199557::entailment,val-199557,157928,Two people in the snow with skis and a cooler.,Two individuals in the snow with skis and a cooler,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000157928.jpg,"['backpack', 'car', 'person', 'skis']","{'car': 2, 'person': 2, 'skis': 2, 'backpack': 2}",test
val-201277::contradiction,val-201277,323263,A group of people standing around a blue building.,A group of people standing around a red building,contradiction,contradiction_attribute,attribute:blue->red,pending,/content/project/artifacts/datasets/coco2017/val2017/000000323263.jpg,"['cell phone', 'handbag', 'person']","{'cell phone': 1, 'person': 5, 'handbag': 1}",test
val-201277::entailment,val-201277,323263,A group of people standing around a blue building.,A group of individuals standing around a blue building,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000323263.jpg,"['cell phone', 'handbag', 'person']","{'cell phone': 1, 'person': 5, 'handbag': 1}",test
val-204946::contradiction,val-204946,414510,A people is sitting next to bikes on a cell phone.,A people is running next to bikes on a cell phone,contradiction,contradiction_action,action:sitting->running,pending,/content/project/artifacts/datasets/coco2017/val2017/000000414510.jpg,"['backpack', 'bicycle', 'car', 'cell phone', 'handbag', 'person', 'truck']","{'bicycle': 1, 'car': 4, 'person': 3, 'cell phone': 1, 'truck': 1, 'backpack': 2, 'handbag': 1}",test
val-204946::entailment,val-204946,414510,A people is sitting next to bikes on a cell phone.,AN individuals is sitting next to bikes on a cell phone,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000414510.jpg,"['backpack', 'bicycle', 'car', 'cell phone', 'handbag', 'person', 'truck']","{'bicycle': 1, 'car': 4, 'person': 3, 'cell phone': 1, 'truck': 1, 'backpack': 2, 'handbag': 1}",test
val-206254::contradiction,val-206254,414510,A person talking on a mobile phone helping an injured bicyclist.,Two people talking on a mobile phone helping an injured bicyclist,contradiction,contradiction_count,count:article->person,pending,/content/project/artifacts/datasets/coco2017/val2017/000000414510.jpg,"['backpack', 'bicycle', 'car', 'cell phone', 'handbag', 'person', 'truck']","{'bicycle': 1, 'car': 4, 'person': 3, 'cell phone': 1, 'truck': 1, 'backpack': 2, 'handbag': 1}",test
val-206254::entailment,val-206254,414510,A person talking on a mobile phone helping an injured bicyclist.,AN individual talking on a mobile phone helping an injured bicyclist,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000414510.jpg,"['backpack', 'bicycle', 'car', 'cell phone', 'handbag', 'person', 'truck']","{'bicycle': 1, 'car': 4, 'person': 3, 'cell phone': 1, 'truck': 1, 'backpack': 2, 'handbag': 1}",test
val-206590::contradiction,val-206590,455624,People standing behind bales of straw as a protection from motorcycles on a track.,People sleeping behind bales of straw as a protection from motorcycles on a track,contradiction,contradiction_action,action:standing->sleeping,pending,/content/project/artifacts/datasets/coco2017/val2017/000000455624.jpg,"['motorcycle', 'person']","{'motorcycle': 1, 'person': 14}",test
val-206590::entailment,val-206590,455624,People standing behind bales of straw as a protection from motorcycles on a track.,Individuals standing behind bales of straw as a protection from motorcycles on a track,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000455624.jpg,"['motorcycle', 'person']","{'motorcycle': 1, 'person': 14}",test
val-20712::contradiction,val-20712,574315,A cat resting on a laptop next to a person.,A dog resting on a laptop next to a person,contradiction,contradiction_object,object:cat->dog,pending,/content/project/artifacts/datasets/coco2017/val2017/000000574315.jpg,"['cat', 'couch', 'keyboard', 'laptop', 'person']","{'cat': 1, 'couch': 1, 'person': 1, 'laptop': 1, 'keyboard': 1}",test
val-20712::entailment,val-20712,574315,A cat resting on a laptop next to a person.,A cat resting on a laptop next to an individual,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000574315.jpg,"['cat', 'couch', 'keyboard', 'laptop', 'person']","{'cat': 1, 'couch': 1, 'person': 1, 'laptop': 1, 'keyboard': 1}",test
val-209650::contradiction,val-209650,309484,A dog sits while a person brushes his teeth.,A cat sits while a person brushes his teeth,contradiction,contradiction_object,object:dog->cat,pending,/content/project/artifacts/datasets/coco2017/val2017/000000309484.jpg,"['dog', 'person', 'toothbrush']","{'dog': 1, 'person': 1, 'toothbrush': 2}",test
val-209650::entailment,val-209650,309484,A dog sits while a person brushes his teeth.,A dog sits while an individual brushes his teeth,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000309484.jpg,"['dog', 'person', 'toothbrush']","{'dog': 1, 'person': 1, 'toothbrush': 2}",test
val-216828::contradiction,val-216828,441247,a woman in a blue dress some black chairs and another person looking in an oven,a woman in a red dress some black chairs and another person looking in an oven,contradiction,contradiction_attribute,attribute:blue->red,pending,/content/project/artifacts/datasets/coco2017/val2017/000000441247.jpg,"['backpack', 'banana', 'bottle', 'chair', 'clock', 'couch', 'dining table', 'handbag', 'microwave', 'orange', 'oven', 'person', 'refrigerator', 'vase']","{'chair': 4, 'couch': 2, 'person': 2, 'dining table': 2, 'refrigerator': 1, 'clock': 1, 'microwave': 1, 'orange': 2, 'vase': 3, 'backpack': 1, 'handbag': 1, 'oven': 2, 'bottle': 1, 'banana': 1}",test
val-216828::entailment,val-216828,441247,a woman in a blue dress some black chairs and another person looking in an oven,a woman in a blue dress some black chairs and another individual looking in an oven,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000441247.jpg,"['backpack', 'banana', 'bottle', 'chair', 'clock', 'couch', 'dining table', 'handbag', 'microwave', 'orange', 'oven', 'person', 'refrigerator', 'vase']","{'chair': 4, 'couch': 2, 'person': 2, 'dining table': 2, 'refrigerator': 1, 'clock': 1, 'microwave': 1, 'orange': 2, 'vase': 3, 'backpack': 1, 'handbag': 1, 'oven': 2, 'bottle': 1, 'banana': 1}",test
val-217615::contradiction,val-217615,405279,some people a bench some grass trees and kites,some people a couch some grass trees and kites,contradiction,contradiction_object,object:bench->couch,pending,/content/project/artifacts/datasets/coco2017/val2017/000000405279.jpg,"['bench', 'kite', 'person']","{'person': 4, 'bench': 2, 'kite': 14}",test
val-217615::entailment,val-217615,405279,some people a bench some grass trees and kites,some individuals a bench some grass trees and kites,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000405279.jpg,"['bench', 'kite', 'person']","{'person': 4, 'bench': 2, 'kite': 14}",test
val-231808::contradiction,val-231808,30504,A person riding skis down a snow covered slope.,A person pushing skis down a snow covered slope,contradiction,contradiction_action,action:riding->pushing,pending,/content/project/artifacts/datasets/coco2017/val2017/000000030504.jpg,"['backpack', 'person', 'skis']","{'person': 1, 'skis': 1, 'backpack': 1}",test
val-231808::entailment,val-231808,30504,A person riding skis down a snow covered slope.,AN individual riding skis down a snow covered slope,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000030504.jpg,"['backpack', 'person', 'skis']","{'person': 1, 'skis': 1, 'backpack': 1}",test
val-233394::contradiction,val-233394,33854,"A bus, old cabin cars, and motor cycles with people","A bus, young cabin cars, and motor cycles with people",contradiction,contradiction_attribute,attribute:old->young,pending,/content/project/artifacts/datasets/coco2017/val2017/000000033854.jpg,"['bus', 'car', 'motorcycle', 'person']","{'motorcycle': 4, 'bus': 1, 'car': 4, 'person': 13}",test
val-233394::entailment,val-233394,33854,"A bus, old cabin cars, and motor cycles with people","A bus, old cabin cars, and motor cycles with individuals",entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000033854.jpg,"['bus', 'car', 'motorcycle', 'person']","{'motorcycle': 4, 'bus': 1, 'car': 4, 'person': 13}",test
val-236430::contradiction,val-236430,568584,A ghostly image of a man sitting on a couch in a living room.,A ghostly image of a man sitting on a bench in a living room,contradiction,contradiction_object,object:couch->bench,pending,/content/project/artifacts/datasets/coco2017/val2017/000000568584.jpg,"['chair', 'clock', 'couch', 'person']","{'couch': 1, 'clock': 1, 'chair': 1, 'person': 1}",test
val-236430::entailment,val-236430,568584,A ghostly image of a man sitting on a couch in a living room.,A ghostly image of a man sitting on a sofa in a living room,entailment,entailment_synonym,synonym:couch->sofa,pending,/content/project/artifacts/datasets/coco2017/val2017/000000568584.jpg,"['chair', 'clock', 'couch', 'person']","{'couch': 1, 'clock': 1, 'chair': 1, 'person': 1}",test
val-238341::contradiction,val-238341,191614,One horse being ridden by a person and another horse are in a training area.,One cow being ridden by a person and another horse are in a training area,contradiction,contradiction_object,object:horse->cow,pending,/content/project/artifacts/datasets/coco2017/val2017/000000191614.jpg,"['horse', 'person']","{'horse': 2, 'person': 1}",test
val-238341::entailment,val-238341,191614,One horse being ridden by a person and another horse are in a training area.,One horse being ridden by an individual and another horse are in a training area,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000191614.jpg,"['horse', 'person']","{'horse': 2, 'person': 1}",test
val-242918::contradiction,val-242918,513524,a person riding a surf board on a wave,a person pushing a surf board on a wave,contradiction,contradiction_action,action:riding->pushing,pending,/content/project/artifacts/datasets/coco2017/val2017/000000513524.jpg,"['person', 'surfboard']","{'person': 1, 'surfboard': 1}",test
val-242918::entailment,val-242918,513524,a person riding a surf board on a wave,an individual riding a surf board on a wave,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000513524.jpg,"['person', 'surfboard']","{'person': 1, 'surfboard': 1}",test
val-242989::contradiction,val-242989,170099,a person wearing a suit and tie next to a couch,a person wearing a suit and tie next to a bench,contradiction,contradiction_object,object:couch->bench,pending,/content/project/artifacts/datasets/coco2017/val2017/000000170099.jpg,"['couch', 'person', 'tie']","{'couch': 1, 'tie': 1, 'person': 1}",test
val-242989::entailment,val-242989,170099,a person wearing a suit and tie next to a couch,an individual wearing a suit and tie next to a couch,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000170099.jpg,"['couch', 'person', 'tie']","{'couch': 1, 'tie': 1, 'person': 1}",test
val-243209::contradiction,val-243209,207844,People are sitting in lounge chairs on the beach.,People are running in lounge chairs on the beach,contradiction,contradiction_action,action:sitting->running,pending,/content/project/artifacts/datasets/coco2017/val2017/000000207844.jpg,"['book', 'chair', 'cup', 'person', 'umbrella']","{'umbrella': 6, 'person': 14, 'book': 1, 'cup': 1, 'chair': 12}",test
val-243209::entailment,val-243209,207844,People are sitting in lounge chairs on the beach.,Individuals are sitting in lounge chairs on the beach,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000207844.jpg,"['book', 'chair', 'cup', 'person', 'umbrella']","{'umbrella': 6, 'person': 14, 'book': 1, 'cup': 1, 'chair': 12}",test
val-259722::contradiction,val-259722,483999,People sitting at a long table in a restaurant with many plates.,People running at a long table in a restaurant with many plates,contradiction,contradiction_action,action:sitting->running,pending,/content/project/artifacts/datasets/coco2017/val2017/000000483999.jpg,"['chair', 'cup', 'dining table', 'fork', 'knife', 'person', 'spoon', 'umbrella']","{'dining table': 3, 'person': 11, 'cup': 14, 'fork': 4, 'chair': 7, 'spoon': 1, 'umbrella': 1, 'knife': 1}",test
val-259722::entailment,val-259722,483999,People sitting at a long table in a restaurant with many plates.,Individuals sitting at a long table in a restaurant with many plates,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000483999.jpg,"['chair', 'cup', 'dining table', 'fork', 'knife', 'person', 'spoon', 'umbrella']","{'dining table': 3, 'person': 11, 'cup': 14, 'fork': 4, 'chair': 7, 'spoon': 1, 'umbrella': 1, 'knife': 1}",test
val-261383::contradiction,val-261383,411938,A boy is riding a bike with a teddy bear as a person sitting is toasting a beer.,A boy is riding a bike with a teddy bear as two people sitting is toasting a beer,contradiction,contradiction_count,count:article->person,pending,/content/project/artifacts/datasets/coco2017/val2017/000000411938.jpg,"['backpack', 'bicycle', 'car', 'cup', 'motorcycle', 'person', 'teddy bear']","{'bicycle': 5, 'car': 1, 'motorcycle': 1, 'person': 7, 'teddy bear': 1, 'backpack': 1, 'cup': 1}",test
val-261383::entailment,val-261383,411938,A boy is riding a bike with a teddy bear as a person sitting is toasting a beer.,A boy is riding a bike with a teddy bear as an individual sitting is toasting a beer,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000411938.jpg,"['backpack', 'bicycle', 'car', 'cup', 'motorcycle', 'person', 'teddy bear']","{'bicycle': 5, 'car': 1, 'motorcycle': 1, 'person': 7, 'teddy bear': 1, 'backpack': 1, 'cup': 1}",test
val-264346::contradiction,val-264346,286553,two people sitting at a table posing for a photo,one person sitting at a table posing for a photo,contradiction,contradiction_count,count:two->one,pending,/content/project/artifacts/datasets/coco2017/val2017/000000286553.jpg,"['bottle', 'chair', 'cup', 'dining table', 'fork', 'knife', 'person', 'pizza', 'umbrella']","{'bottle': 2, 'umbrella': 2, 'chair': 2, 'dining table': 1, 'person': 2, 'cup': 3, 'fork': 2, 'knife': 2, 'pizza': 2}",test
val-264346::entailment,val-264346,286553,two people sitting at a table posing for a photo,two individuals sitting at a table posing for a photo,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000286553.jpg,"['bottle', 'chair', 'cup', 'dining table', 'fork', 'knife', 'person', 'pizza', 'umbrella']","{'bottle': 2, 'umbrella': 2, 'chair': 2, 'dining table': 1, 'person': 2, 'cup': 3, 'fork': 2, 'knife': 2, 'pizza': 2}",test
val-267318::contradiction,val-267318,255483,Person holding up a piece of paper with scissors on it.,Person dropping up a piece of paper with scissors on it,contradiction,contradiction_action,action:holding->dropping,pending,/content/project/artifacts/datasets/coco2017/val2017/000000255483.jpg,"['book', 'person', 'scissors']","{'person': 1, 'scissors': 1, 'book': 1}",test
val-267318::entailment,val-267318,255483,Person holding up a piece of paper with scissors on it.,Individual holding up a piece of paper with scissors on it,entailment,entailment_synonym,synonym:person->individual,pending,/content/project/artifacts/datasets/coco2017/val2017/000000255483.jpg,"['book', 'person', 'scissors']","{'person': 1, 'scissors': 1, 'book': 1}",test
